"source_row_id","fips_state","state_name","aian_wh_2013","anhpi_wh_2013","bl_wh_2013","hp_wh_2013","aian_wh_2014","anhpi_wh_2014","bl_wh_2014","hp_wh_2014","aian_wh_2015","anhpi_wh_2015","bl_wh_2015","hp_wh_2015","aian_wh_2016","anhpi_wh_2016","bl_wh_2016","hp_wh_2016","aian_wh_2017","anhpi_wh_2017","bl_wh_2017","hp_wh_2017","aian_wh_2018","anhpi_wh_2018","bl_wh_2018","hp_wh_2018","aian_wh_2019","anhpi_wh_2019","bl_wh_2019","hp_wh_2019","aian_wh_2020","anhpi_wh_2020","bl_wh_2020","hp_wh_2020","aian_wh_2021","anhpi_wh_2021","bl_wh_2021","hp_wh_2021","aian_wh_2022","anhpi_wh_2022","bl_wh_2022","hp_wh_2022"
"1","00","United States",0.04500000000000001,-0.044629999999999996,0.021000000000000005,-0.02099999999999999,0.05299999999999999,-0.0392,0.021000000000000005,-0.02099999999999999,0.07100000000000001,-0.036329999999999994,0.017,-0.01999999999999999,0.047000000000000014,-0.0411,0.022000000000000006,-0.022999999999999993,0.055999999999999994,-0.04532,0.023000000000000007,-0.025999999999999995,0.07899999999999999,-0.04234,0.025999999999999995,-0.021000000000000005,0.04400000000000001,-0.049,0.015,-0.018000000000000002,0.04200000000000001,-0.042,0.021000000000000005,-0.013999999999999999,0.04100000000000001,-0.043000000000000003,0.02099999999999999,-0.012999999999999998,0.043999999999999984,-0.045000000000000005,0.01999999999999999,-0.010000000000000009
"2","01","Alabama","","",0.019000000000000003,"","","",0.010999999999999996,"","","",0.015,"","","",0.023000000000000007,"","","",0.009000000000000008,"",0.106,"",0.0030000000000000027,"",0.034,"",0.020000000000000004,"","","",0.02099999999999999,"","","",0.009999999999999995,0.03900000000000001,"","",0.024000000000000007,""
"3","02","Alaska",0.017,"","",0.103,0.022000000000000006,"","","",0.010999999999999996,"","","","","","","",0.024000000000000007,"","","",0.06799999999999999,"","","",-0.0020000000000000018,"","","",-0.019000000000000003,"","","",0.02800000000000001,"","",0.047000000000000014,0.013999999999999999,0.0010000000000000009,0.026999999999999996,0.0010000000000000009
"4","04","Arizona",0.021999999999999992,"","",-0.046000000000000006,0.0050000000000000044,"",0.018000000000000002,-0.025999999999999995,0.05199999999999999,"",-0.0050000000000000044,-0.02800000000000001,"","","",-0.03599999999999999,0.0030000000000000027,"",0.02700000000000001,-0.025999999999999995,0.032000000000000015,"",0.023000000000000007,-0.035,-0.01899999999999999,"",0.029000000000000012,-0.02099999999999999,0.031000000000000014,"",-0.021999999999999992,-0.023999999999999994,-0.03399999999999999,-0.025999999999999995,0.018000000000000002,-0.028999999999999998,-0.03399999999999999,"",-0.0059999999999999915,-0.015
"5","05","Arkansas","","",0.015,"","","",-0.001999999999999988,"","","",0.0010000000000000009,"",-0.007999999999999993,"",0.0020000000000000018,"","","",0.05499999999999999,"","","",0.031,"","","",0.015,"","","",0.037000000000000005,"","","",0.043,"",0.05099999999999999,"",0.028999999999999998,-0.017
"6","06","California",0.06500000000000002,-0.04901,0.015,-0.03599999999999999,"",-0.03961,0.068,-0.032,0.179,-0.011970000000000008,0.03899999999999999,-0.020000000000000004,"",-0.05016,0.009999999999999995,-0.03900000000000001,"","",0.04100000000000001,-0.039,0.094,-0.03385,0.066,-0.03,"",-0.053000000000000005,0.007999999999999993,-0.034,"",-0.052,0.019000000000000003,-0.033,"",-0.04599999999999999,0.045,-0.021999999999999992,0.06100000000000001,-0.054,-0.0030000000000000027,-0.021999999999999992
"7","08","Colorado","","",-0.011999999999999997,-0.008999999999999994,0.07900000000000001,"",-0.017999999999999988,-0.016,"","",0.009000000000000008,-0.020000000000000004,"","","",-0.02099999999999999,"","","",-0.021000000000000005,"","",0.027999999999999997,-0.023000000000000007,"","",0.025999999999999995,-0.013999999999999999,0.01999999999999999,"",0.04899999999999999,-0.021000000000000005,"","",-0.0049999999999999906,-0.006999999999999992,"",-0.056,0.030999999999999986,-0.015
"8","09","Connecticut","","",-0.0030000000000000027,0.0030000000000000027,"","",0.032,0.01200000000000001,"",-0.05568000000000001,0.04000000000000001,0.031,"","",0.03900000000000001,0.04100000000000001,"","",0.007999999999999993,0.044999999999999984,"","",0.062,0.03900000000000001,"","",0.025999999999999995,0.02099999999999999,"","",0.0030000000000000027,0.034000000000000016,"",-0.024000000000000007,0.04300000000000001,0.05399999999999999,"",-0.028999999999999998,0.030999999999999986,0.02500000000000001
"9","10","Delaware","","",0.03900000000000001,-0.021000000000000005,"","",0.03,-0.028000000000000004,"","",-0.012999999999999998,-0.009000000000000008,"","",0.034,"","","",0.04799999999999999,"","","",0.03,-0.022000000000000006,"","",0.008999999999999994,-0.021000000000000005,"","",0.068,-0.033,"","",0.04100000000000001,-0.010999999999999996,"","",0.032,-0.0040000000000000036
"10","11","District of Columbia","","",0.06299999999999999,"","","",0.078,"","","",0.099,"","","",0.07100000000000001,"","","",0.08099999999999999,"","","",0.057999999999999996,0.018000000000000002,"","",0.055999999999999994,0.007000000000000006,"","",0.05700000000000001,-0.0030000000000000027,"","",0.05500000000000001,0.017,"","",0.04000000000000001,0.020000000000000004
"11","12","Florida",0.14100000000000001,"",0.0059999999999999915,0.0,"","",-0.01100000000000001,-0.018000000000000002,"","",-0.013999999999999999,-0.011999999999999997,"","",0.007999999999999993,-0.010000000000000009,"","",0.0030000000000000027,-0.0030000000000000027,"","",0.015,-0.0059999999999999915,"","",0.0030000000000000027,-0.0020000000000000018,"","",0.01200000000000001,0.006000000000000005,"","","","","","",0.024999999999999994,0.0059999999999999915
"12","13","Georgia","","",0.025999999999999995,-0.020000000000000004,"","",0.011999999999999997,"",0.24500000000000002,"",0.011999999999999997,"","","",0.0040000000000000036,"","","",0.018000000000000002,"","","",0.02600000000000001,-0.04699999999999999,"","",-0.0010000000000000009,-0.052000000000000005,0.20099999999999996,"",0.02099999999999999,-0.03200000000000001,"","",0.016,-0.046,"","",0.009999999999999995,-0.026999999999999996
"13","15","Hawaii","",-0.010749999999999996,"",0.10099999999999999,"",0.005809999999999996,"",0.07999999999999999,"",0.026179999999999995,"",0.10500000000000001,"",0.009249999999999994,"",0.118,"",0.007130000000000011,"",0.06600000000000002,"",-0.00477000000000001,"",0.071,"",0.0020000000000000018,"",0.073,"",0.009999999999999995,"",0.07399999999999998,"",0.0010000000000000009,"",0.095,"",0.021999999999999992,"",0.059
"14","16","Idaho","","","",-0.016,"","","",-0.0040000000000000036,0.147,"","","","","","","","","","","","","","","","","","",0.0030000000000000027,"","","",-0.024000000000000007,0.09,"","",0.0040000000000000036,0.031000000000000014,"","",-0.010999999999999996
"15","17","Illinois","","",0.022000000000000006,"","","",0.04600000000000001,-0.034,"","",0.039999999999999994,-0.010999999999999996,"","",0.035,"","","",0.022999999999999993,"","","",0.057999999999999996,-0.029999999999999992,"","",0.071,-0.026000000000000002,"","",0.03499999999999999,0.013999999999999999,"","",0.027999999999999997,0.0059999999999999915,"","",0.045,-0.019000000000000003
"16","18","Indiana","","",0.04999999999999999,-0.054000000000000006,0.16200000000000003,"",0.032000000000000015,-0.02099999999999999,"","",0.028999999999999998,"","","",0.061,"","","",0.036000000000000004,"","","",0.03,-0.036000000000000004,"","",0.028999999999999998,-0.04700000000000001,"","",0.016,-0.006000000000000005,0.095,-0.02700000000000001,0.046999999999999986,-0.013999999999999999,0.16800000000000004,-0.032,0.031000000000000014,-0.03
"17","19","Iowa","",-0.079,"","","","",0.109,"","","","","","","","","","","","","","","",0.13,-0.036,"","",0.025999999999999995,-0.024,"","",0.056999999999999995,-0.041999999999999996,"","",0.072,-0.031000000000000007,"","",0.047000000000000014,-0.022999999999999993
"18","20","Kansas",0.088,"",0.02600000000000001,-0.031999999999999994,0.068,"",0.035,-0.041999999999999996,0.104,"",0.052000000000000005,-0.027000000000000003,"","",0.036000000000000004,"","","",0.034,-0.016,0.08299999999999999,"",0.04100000000000001,-0.03,0.03,"",0.021999999999999992,-0.023000000000000007,0.099,"",0.047000000000000014,-0.00399999999999999,0.06,-0.041,0.011999999999999997,-0.0050000000000000044,0.011999999999999997,"",0.008999999999999994,-0.016
"19","21","Kentucky","","",-0.0030000000000000027,"","","",0.014000000000000012,"",0.392,"",0.016,"","","",0.016,"","","",0.05700000000000001,"","","",0.02700000000000001,"","","",-0.022000000000000006,"","","",0.03399999999999999,"","","",0.03299999999999999,0.02800000000000001,"","",0.03600000000000002,""
"20","22","Louisiana","","",0.03499999999999999,"","","",0.015,"","","",0.032,"","","",0.059,"","","",0.02099999999999999,"","","",0.034,"","","",0.018000000000000002,"","","",0.01999999999999999,0.04999999999999999,"","",0.038000000000000006,0.017,0.118,"",0.02500000000000001,-0.02099999999999999
"21","23","Maine","","","","",0.10099999999999999,"","","","","","","","","","","","","","","",0.252,"","","","","","","","","","","",0.05000000000000002,"","",0.026999999999999996,0.08299999999999999,"","",0.01899999999999999
"22","24","Maryland","",-0.005070000000000005,0.0030000000000000027,-0.039,"","",0.044,"","","",0.007000000000000006,"","","",0.025999999999999995,-0.046,"","",0.03,"","",-0.046209999999999994,0.04100000000000001,-0.026999999999999996,"",-0.027000000000000003,0.031,-0.031000000000000007,0.12499999999999999,-0.028000000000000004,0.023999999999999994,-0.014000000000000012,0.07900000000000001,-0.02099999999999999,0.023000000000000007,-0.026999999999999996,0.065,-0.043000000000000003,0.01999999999999999,-0.022000000000000006
"23","25","Massachusetts","",-0.045880000000000004,-0.015,0.011999999999999997,"",-0.07631000000000002,0.03899999999999999,0.047,"","",0.029000000000000012,-0.007999999999999993,0.10599999999999998,"",0.056999999999999995,0.011999999999999997,"","","",-0.0030000000000000027,"","",-0.010999999999999996,0.023000000000000007,"",-0.056999999999999995,0.01200000000000001,0.008000000000000007,"","",0.010000000000000009,0.024000000000000007,"",-0.07699999999999999,-0.016,-0.000999999999999987,"",-0.053000000000000005,0.0040000000000000036,0.009999999999999995
"24","26","Michigan",0.09400000000000001,"",0.03399999999999999,0.02500000000000001,"","",0.04099999999999998,0.033,0.161,"",0.01899999999999999,0.016,"","",0.03799999999999999,"","","",0.048,"",0.078,"",0.05800000000000001,0.015,"","",0.053000000000000005,-0.0049999999999999906,0.22300000000000003,"",0.031000000000000014,0.0040000000000000036,0.052000000000000005,-0.046,0.043,-0.0030000000000000027,"","",0.02600000000000001,0.007000000000000006
"25","27","Minnesota","","",0.05800000000000001,0.012999999999999998,0.024999999999999994,"",0.05699999999999998,-0.027000000000000003,0.047,"",0.06800000000000002,0.0,"","","","","","","","",0.14500000000000002,-0.018410000000000003,0.05600000000000001,-0.025,0.09499999999999999,-0.031000000000000007,0.0049999999999999906,-0.028000000000000004,0.05799999999999998,"",0.03399999999999999,-0.018000000000000002,0.03899999999999999,-0.023000000000000007,0.012999999999999998,-0.0040000000000000036,0.05399999999999999,-0.034999999999999996,0.02500000000000001,0.02600000000000001
"26","28","Mississippi","","",0.009999999999999995,"","","",0.01899999999999999,"","","",0.01100000000000001,"","","",0.013999999999999999,"","","",0.013999999999999999,"","","",0.019000000000000003,"","","",0.013999999999999999,"","","",0.03,"","","",0.021000000000000005,"","","",0.017999999999999988,""
"27","29","Missouri","","",0.01999999999999999,"","","",0.015,"",0.069,"",0.0020000000000000018,0.086,"","",0.04300000000000001,"","","",0.06699999999999999,"","","",0.024000000000000007,"","","",0.0049999999999999906,0.035,"","",0.037000000000000005,-0.013999999999999999,0.05399999999999999,"",0.034,0.038000000000000006,"","",0.068,0.05399999999999999
"28","30","Montana",0.011999999999999997,"","",0.044,0.015,"","","",0.04600000000000001,"","","",0.05,"","","",0.045,"","","",0.028999999999999998,"","","",0.035,"","",0.07100000000000001,0.016999999999999987,"","","",0.013999999999999999,"","",0.028999999999999998,0.041999999999999996,"","",0.05900000000000001
"29","31","Nebraska","","",0.04000000000000001,-0.018999999999999996,0.040999999999999995,"",0.06799999999999999,-0.041,"","",0.047,-0.036,0.026999999999999996,"","","","","","","","","",0.020000000000000004,-0.045,0.107,"",0.05500000000000001,-0.04,0.14600000000000002,"",0.010999999999999996,-0.024,"","",0.026999999999999996,-0.022000000000000006,"","","",-0.028000000000000004
"30","32","Nevada","","",0.077,-0.017,"","",0.06599999999999999,-0.017,"","",0.049,-0.036000000000000004,"","","","","","","","","","",0.03900000000000001,-0.0059999999999999915,"","",0.025999999999999995,-0.007000000000000006,"","",0.06899999999999999,-0.03799999999999999,"","",-0.006000000000000005,-0.028999999999999998,"","",0.021000000000000005,-0.03
"31","33","New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.02700000000000001,"","","",-0.017999999999999988,"","","",0.032
"32","34","New Jersey","",-0.05684,0.023000000000000007,-0.006000000000000005,"",-0.0398,0.035,0.011999999999999997,"","",0.066,-0.0010000000000000009,"","",0.03900000000000001,0.02700000000000001,"","",0.051000000000000004,0.002999999999999989,"","",0.046,0.0020000000000000018,"","","","","",-0.05199999999999999,0.02800000000000001,0.010000000000000009,"",-0.033999999999999996,0.02800000000000001,0.0020000000000000018,"","",0.051000000000000004,0.008999999999999994
"33","35","New Mexico",0.021000000000000005,"",0.10600000000000001,-0.010999999999999996,-0.015,"","",-0.012999999999999998,-0.026999999999999996,"","",-0.03799999999999999,-0.018000000000000002,"","",0.010999999999999996,-0.006000000000000005,"","",-0.015,-0.023000000000000007,"","",-0.02600000000000001,-0.036000000000000004,"","",-0.018000000000000002,-0.018000000000000002,"","",-0.010999999999999996,-0.032,"","",-0.008000000000000007,-0.0049999999999999906,"","",-0.0030000000000000027
"34","36","New York","",-0.07008,0.023999999999999994,0.0,"",-0.0252,0.028999999999999998,0.05099999999999999,0.06,-0.043590000000000004,0.022999999999999993,0.018000000000000002,0.04100000000000001,"",0.015,0.0050000000000000044,"","",0.031,0.0050000000000000044,0.0010000000000000009,-0.03459000000000001,0.006999999999999992,0.01899999999999999,"",-0.056999999999999995,0.024000000000000007,0.010999999999999996,0.112,-0.031000000000000007,0.043,0.03,0.03,-0.04,0.013999999999999999,0.013999999999999999,"",-0.031,0.027999999999999997,0.02700000000000001
"35","37","North Carolina",0.071,"",0.03,-0.042,"","",0.0059999999999999915,-0.062,"","",0.001999999999999988,-0.043000000000000003,"","",0.015,"","","",0.016,"",0.18000000000000002,"",0.006000000000000005,-0.039,"","",0.0049999999999999906,-0.051000000000000004,0.08800000000000001,"",0.015,-0.031,0.072,"",0.03,-0.044000000000000004,0.1,"",0.010000000000000009,-0.036
"36","38","North Dakota",-0.0050000000000000044,"","","",0.03499999999999999,"","","",0.08899999999999998,"","","","","","","","","","","",0.040999999999999995,"","","",0.018000000000000002,"","","",0.05500000000000001,"","","",0.038000000000000006,"","","",0.064,"","",0.022999999999999993
"37","39","Ohio","","",0.059,0.023000000000000007,"","",0.061,0.04000000000000001,"","",0.04300000000000001,0.067,"","",0.037000000000000005,"","","",0.04999999999999999,"","","",0.02700000000000001,0.092,"","",0.03699999999999999,0.073,"","",0.021000000000000005,0.017,"","",0.021999999999999992,0.011999999999999997,0.106,"",0.05600000000000001,0.020000000000000004
"38","40","Oklahoma",0.021000000000000005,"",0.04200000000000001,-0.04699999999999999,0.034,"",0.021999999999999992,-0.05,0.018000000000000002,"",0.006999999999999992,-0.031,"","","","",0.033,"","","",0.017,"",0.039999999999999994,-0.025999999999999995,0.02700000000000001,"",0.008000000000000007,-0.03699999999999999,0.012999999999999998,"",0.029000000000000012,-0.022999999999999993,0.03599999999999999,"",0.03500000000000002,-0.033,0.04600000000000001,"",0.01100000000000001,-0.046
"39","41","Oregon","","","",0.0020000000000000018,"","","",-0.023000000000000007,"","","",-0.017,0.11800000000000001,"","","","","","","","","","",-0.02500000000000001,0.11,"","",-0.024000000000000007,"","","",-0.027999999999999997,"","",0.114,-0.022000000000000006,0.078,"","",-0.02700000000000001
"40","42","Pennsylvania","","",0.04200000000000001,0.04100000000000001,"","",0.032,0.023000000000000007,"","",0.009999999999999995,0.128,"","",0.07700000000000001,"","","",0.012999999999999998,"","","",0.059,0.023000000000000007,"","",0.07399999999999998,0.055999999999999994,"","",0.04600000000000001,0.067,"","",0.056999999999999995,0.055999999999999994,"","",0.04400000000000001,0.04899999999999999
"41","44","Rhode Island",0.137,"",0.008000000000000007,-0.026999999999999996,"","",-0.021000000000000005,0.0030000000000000027,"","","",-0.009999999999999995,"","","",0.009000000000000008,"","","",0.013000000000000012,0.369,"",0.013999999999999999,0.006000000000000005,"","",0.03499999999999999,-0.02600000000000001,"","",0.025999999999999995,0.014000000000000012,0.176,"",0.021999999999999992,-0.0059999999999999915,0.14800000000000002,-0.040999999999999995,0.035,0.01100000000000001
"42","45","South Carolina","","",0.024000000000000007,"",0.111,"",0.0030000000000000027,"","","",-0.0040000000000000036,-0.034,"","",0.013000000000000012,"","","",0.008000000000000007,"","","",0.015,-0.024999999999999994,"","",0.022000000000000006,-0.018000000000000002,"","",0.020000000000000004,"","","",0.0030000000000000027,-0.029999999999999992,0.08800000000000001,"",0.026999999999999996,0.018000000000000002
"43","46","South Dakota",0.033,"","","",0.02800000000000001,"","","",0.017,"","","","","","","",0.06200000000000001,"","","",0.012999999999999998,"","","",-0.0010000000000000009,"","","",0.06799999999999999,"","","",0.0,"","","",0.059,"","",""
"44","47","Tennessee","","",-0.010999999999999996,"","","",-0.012999999999999998,"","","",0.0040000000000000036,"","","",0.011999999999999997,"","","",-0.015,"","","",0.009999999999999995,"","","",0.0040000000000000036,-0.031999999999999994,"","",0.05099999999999999,"","","",-0.0030000000000000027,0.04400000000000001,"","",0.023000000000000007,""
"45","48","Texas","","",0.032,-0.04399999999999999,"","",0.021000000000000005,-0.026999999999999996,"","",0.013999999999999999,-0.041999999999999996,"","",0.020000000000000004,-0.045,"","",0.047000000000000014,-0.043,"","",0.013000000000000012,-0.03899999999999999,"","",-0.018000000000000002,-0.023000000000000007,"","",0.03,-0.029000000000000005,"","",0.008999999999999994,-0.033,"","",0.01899999999999999,-0.01200000000000001
"46","49","Utah","","","",-0.023000000000000007,"","","",-0.031,"",0.003909999999999997,"",-0.025999999999999995,"","","","","","","",-0.034,"","","",-0.037000000000000005,"","","",-0.033,"","","",0.0040000000000000036,"","","",-0.023000000000000007,"",-0.031,"",-0.04000000000000001
"47","50","Vermont","","","","","","","","",0.183,"","","","","","","","","","","","","","","","","","","",0.15700000000000003,"","",0.15500000000000003,0.127,"","",0.020000000000000004,0.131,"","",0.034
"48","51","Virginia","","",0.03,-0.013999999999999999,"","",0.015,-0.018000000000000002,"","",0.041999999999999996,-0.033999999999999996,"","",0.03,"","","",0.0010000000000000009,"","","",0.01899999999999999,-0.031000000000000007,"","",0.012999999999999998,-0.033999999999999996,"","",0.010999999999999996,-0.053,"",0.0010000000000000009,0.033,0.0050000000000000044,"","",0.020000000000000004,-0.015
"49","53","Washington",0.047,-0.04747,-0.0059999999999999915,-0.025999999999999995,"",-0.041690000000000005,0.0020000000000000018,-0.018000000000000002,0.128,-0.05016,0.017,-0.020000000000000004,"","","",-0.021000000000000005,"","","",-0.031,0.119,-0.046680000000000006,0.013999999999999999,-0.038000000000000006,0.05500000000000001,-0.05499999999999999,0.03599999999999999,-0.019000000000000003,0.049,-0.056999999999999995,0.02500000000000001,-0.017999999999999988,0.054000000000000006,-0.039999999999999994,0.006000000000000005,-0.023999999999999994,0.08,-0.058,-0.015,-0.015
"50","54","West Virginia","","",0.05299999999999999,"","","","","","","",0.010999999999999996,"","","","","","","","","","","",0.032,"","","",0.05800000000000001,"","","","","","","",0.024000000000000007,0.05,"","",0.0050000000000000044,""
"51","55","Wisconsin","","",0.148,"","","",0.14100000000000001,0.026999999999999996,"","",0.093,"","","","","","","","","","","",0.04500000000000001,0.015,"","",0.161,0.023000000000000007,"","",0.04200000000000001,"",0.211,"",0.05399999999999999,"",0.035,"",0.07299999999999998,0.0059999999999999915
"52","56","Wyoming","","","",-0.028999999999999998,"","","",-0.016,"","","","","","","","","","","","","","","",-0.021000000000000005,"","","",0.022999999999999993,"","","",-0.006000000000000005,"","","",-0.022000000000000006,"","","",0.008999999999999994
